nom_estab|raz_social|codigo_act|nombre_act|per_ocu|tipo_vial|nom_vial|tipo_v_e_1|nom_v_e_1|tipo_v_e_2|nom_v_e_2|tipo_v_e_3|nom_v_e_3|numero_ext|letra_ext|edificio|edificio_e|numero_int|letra_int|tipo_asent|nomb_asent|tipocencom|nom_cencom|num_local|cod_postal|cve_ent|entidad|cve_mun|municipio|cve_loc|localidad|ageb|manzana|telefono|correoelec|www|tipounieco|latitud|longitud|fecha_alta
CAPSULA HOSTEL MEXICO CITY|VISSUTO GROUP SA DE CV|721190|Cabañas, villas y similares|0 a 5 personas|CALLE|HAMBURGO|CALLE|NAPOLES|CALLE|DINAMARCA|AVENIDA|INSURGENTES CENTRO|41||||||COLONIA|JUAREZ||||06600|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0803|004||CAPSULEHOSTELDF@GMAIL.COM||Fijo|19.4284872400000000|-99.160031000000000|2019-11
RENTA DE CABAÑAS Y SALON DE EVENTOS CRUZ DE PIEDRA||721190|Cabañas, villas y similares|6 a 10 personas|CARRETERA|LOCALIDAD 800|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO||DOMICILIO CONOCIDO|||||LOCALIDAD|SAN FRANISCO TECOXPA||||12700|09|CIUDAD DE MÉXICO|009|Milpa Alta|0353|Tepenahuac [Centro de Educación Ambiental]|0100|800||||Fijo|19.1728936100000000|-98.977156940000000|2019-11
METRO HOSTAL BOUTIQUE|DULCE TURISMO S DE RL DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|GUANAJUATO|CALLE|CORDOBA|CALLE|ORIZABA|CALLE|ZACATECAS|84||||||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1110|007||RESERVACIONES@METROHOSTAL.COM|METROHOSTAL.COM|Fijo|19.4169499000000000|-99.158311950000000|2019-11
HOSTEL AMIGO SUITES|OPERADORA AROZARENA SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|LUIS GONZALEZ OBREGON|CALLE|REPUBLICA DE BRASIL|CALLE|REPUBLICA DE ARGENTINA|CALLE|REPÚBLICA DE VENEZUELA|14||||||COLONIA|CENTRO (AREA 1)||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0644|011|5549965456|HECTOR@HOSTALAMIGO.COM|WWW.AMIGOSUITS.COM|Fijo|19.4367346500000000|-99.132610690000000|2010-07
HOSTAL NOXCALCO||721190|Cabañas, villas y similares|0 a 5 personas|CALLE|16 DE SEPTIEMBRE|CALLE|CERRADA NACIONAL|CALLE|5 DE OCTUBRE|CALLE|SALVADOR NOVO|7||||||PUEBLO|BARRIO XOCHITEPEC||||12100|09|CIUDAD DE MÉXICO|009|Milpa Alta|0011|San Antonio Tecómitl|0435|003||||Fijo|19.2110101900000000|-98.984627660000000|2019-11
RENTA DE CABAÑAS EL PARAISO||721190|Cabañas, villas y similares|0 a 5 personas|CARRETERA|LOCALIDAD 800|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO||DOMICILIO CONOCIDO|||||LOCALIDAD|SAN MIGUEL AJUSCO||||14700|09|CIUDAD DE MÉXICO|012|Tlalpan|0328|Ejidos de San Andrés Totoltepec|1227|800|5545384136|||Fijo|19.2537416700000000|-99.229147500000000|2014-12
HOSTEL OASIS|KPF COMMERCE CORP SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|REPUBLICA DE BRASIL|CALLE|DONCELES|CALLE|TACUBA|CALLE|PALMA NORTE|6||||||COLONIA|CENTRO||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0752|004||HOSTEOASISCDMX@HOTMAIL.COM||Fijo|19.4355543100000000|-99.133891090000000|2019-11
HOSTAL CENTRO HISTÓRICO REGINA|TURISMO CON PASIÓN SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|REGINA|CALLE|5 DE FEBRERO|CALLEJON|PRIMER DE MESONES|CALLE|MESONES|58|B|||||COLONIA|CENTRO||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0894|001|5557094192|RESERVACIONES@HOSTALCENTROHISTORICOREGINA.COM|WWW.HOSTALCENTROHISTORICOREGINA.COM|Fijo|19.4276709900000000|-99.135139090000000|2019-11
HOSTEL SAN ILDELFONSO||721190|Cabañas, villas y similares|6 a 10 personas|CALLE|SAN ILDEFONSO|CALLE|REPUBLICA DE ARGENTINA|CALLE|CALLE DEL CARMEN|CALLE|JUSTO SIERRA|31|A|EDIFICIO SIN NOMBRE|1|||COLONIA|CENTRO (ÁREA 3)||||06020|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0752|007||||Fijo|19.4364673000000000|-99.131252000000000|2019-11
HOSTAL HISTORICO CENTRO|MOUR MAATOUK YABRA|721190|Cabañas, villas y similares|0 a 5 personas|CALLE|REPUBLICA DE BRASIL|CALLE|DONCELES|CALLE|TACUBA|CALLE|PALMA NORTE|12||EDIFICIO SIN NOMBRE|1|1||COLONIA|CENTRO (AREA 1)||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0752|004||HHISTORICO@HOTMAIL.COM|HOSTALHISTORICO.COM|Fijo|19.4357274100000000|-99.133867500000000|2019-11
HOSTAL MONEDA|OPERADORA AROZARENA SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|MONEDA|CALLE|CALLE DEL CARMEN|CALLE|LICENCIADO VERDAD|CALLE|CALLE DEL CARMEN|8||||||COLONIA|CENTRO||||06000|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0771|010||||Fijo|19.4334892400000000|-99.130410790000000|2010-07
HOSTAL BOUTIQUE LA TERCIA|INMOBILIARIA LOS ARGUELLOS SA DE CV|721190|Cabañas, villas y similares|6 a 10 personas|CALLE|GENOVA|CALLE|LONDRES|CALLE|LIVERPOOL|CALLE|AMBERES|75|||||75|COLONIA|JUAREZ||||06600|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|095A|001|5573747177|INFO@HOSTALBOUTIQUELATERCIA.COM.MX||Fijo|19.4253754800000000|-99.163646150000000|2014-12
BODEGA DE LA CABAÑA||721190|Cabañas, villas y similares|0 a 5 personas|CALLE|IZAMAL|CALLE|HECELCHAKAN|CALLE|TEPAKAN|CALLE|AKIL|0|SN|||0||COLONIA|CULTURA MAYA||||14230|09|CIUDAD DE MÉXICO|012|Tlalpan|0001|Tlalpan|1443|011||||Fijo|19.2763239300000000|-99.221767990000000|2010-07
CASA SAN IDELFONSO HOSTAL||721190|Cabañas, villas y similares|6 a 10 personas|CALLE|SAN ILDEFONSO|CALLE|CALLE DEL CARMEN|CALLE|REPUBLICA DE ARGENTINA|CALLE|REPÚBLICA DE ARGENTINA|48|A|||||COLONIA|CENTR0||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0659|020|5557891999||WWW.CASASANIDELFONSO.COM.MX|Fijo|19.4363355400000000|-99.129630720000000|2010-07
HOTEL VILLA DEL PARQUE|PEREZYCORES SAPI DE CV|721190|Cabañas, villas y similares|11 a 30 personas|CALLE|PAGANINI|CALLE|ABUNDIO MARTINEZ|EJE VIAL|CENTRAL (LAZARO CARDENAS)|CALLE|DONIZETTI||SN|||2||COLONIA|VALLEJO||||07870|09|CIUDAD DE MÉXICO|005|Gustavo A. Madero|0001|Gustavo A. Madero|1754|026|5514512706|ADMINISTRACION@HOTELVILLADELPARQUE.COM||Fijo|19.4690041700000000|-99.136390510000000|2010-07
HOTEL THE HOST BUSSINES SUITES||721190|Cabañas, villas y similares|11 a 30 personas|AVENIDA|MAGDALENA|CALLE|SANTA BARBARA|CALLE|CONCEPCION BEISTEGUI|AVENIDA|INSURGENTES SUR|310||||||COLONIA|DEL VALLE NORTE||||03103|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0223|002||WTC@THEHOSTSUITES.COM|WWW.THEHOSTSUITES.COM|Fijo|19.3910933800000000|-99.172151810000000|2019-11
THE FOODIE HOSTEL|SERVICIOS YUMEN SA DE CV|721190|Cabañas, villas y similares|0 a 5 personas|CALLE|CALLE INDEPENDENCIA|CALLE|SANTOS DEGOLLADO|CALLE|CALLE LUIS MOYA|CALLE|ARTICULO 123|40||GASTRONOMICA INDEPENDENCIA|17|112||COLONIA|CENTR0|EDIFICIO COMERCIAL Y DE SERVIC|GASTRONOMICA INDEPENDENCIA|112|06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0748|001||RFOODIEHOSTEL@GMAIL.COM|THEFOODIHOSTEL.COM|Fijo|19.4332354300000000|-99.144386910000000|2019-11
SUITES TEHUANTEPEC|SUITES TEHUANTEPEC|721190|Cabañas, villas y similares|0 a 5 personas|EJE VIAL|4 SUR (TEHUANTEPEC)|AVENIDA|NUEVO LEON|CALLE|CULIACAN|CALLE|BAJÍO|286||||0||COLONIA|HIPODROMO||||06100|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1430|004||||Fijo|19.4032332400000000|-99.170866720000000|2014-12
SERVICIO HOSPEDAJE FAMILIAR Y TURISTICO C Y C CASAS Y HOSPEDAJE HOSTAL                                              CENDEJAS CASTILLO||721190|Cabañas, villas y similares|0 a 5 personas|OTRO (ESPECIFIQUE)|ARROYO|PRIVADA|HIDALGO|CALLE|NIÑOS HEROES|AVENIDA|MARIANO MATAMOROS|46||||||PUEBLO|SAN AGUSTIN OHTENCO||||12080|09|CIUDAD DE MÉXICO|009|Milpa Alta|0017|San Francisco Tecoxpa|0365|003|5539390246|||Fijo|19.1935122700000000|-99.010265370000000|2019-11
JARDÍN Y CABAÑA RINCONADA SAN ANTONIO||721190|Cabañas, villas y similares|6 a 10 personas|CARRETERA|LOCALIDAD 800|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO|OTRO (ESPECIFIQUE)|NINGUNO||DOMICILIO CONOCIDO|||||LOCALIDAD|SAN MIGUEL AJUSCO||||14700|09|CIUDAD DE MÉXICO|012|Tlalpan|0328|Ejidos de San Andrés Totoltepec|1227|800|5552971391|ANTONY25@LIVE.COM||Fijo|19.2537416700000000|-99.229147500000000|2014-12
HOSTAL AMIGO ISABEL LA CATÓLICA|OPERADORA AROZARENA SA DE CV|721190|Cabañas, villas y similares|11 a 30 personas|AVENIDA|ISABEL LA CATOLICA|CALLE|REPUBLICA DE URUGUAY|CALLE|REPUBLICA DEL SALVADOR|CALLE|BOLÍVAR|61||||||COLONIA|CENTRO||||06000|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0818|003|||WWW.AMIGOSUITS.COM|Fijo|19.4300706600000000|-99.136789750000000|2010-07
IRE ILE MY HOSTEL|OPERADORA DE HOSTELES ST LLORENC SA DE CV|721190|Cabañas, villas y similares|0 a 5 personas|CALZADA|MANUEL VILLALONGIN|CALLE|RIO PANUCO|CALLE|RIO AMAZONAS|CALLE|RÍO AMAZONAS|90||||||COLONIA|CUAHUTEMOC||||06500|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0790|006||IREILEMYHOSTEL@GMAIL.COM|WWW.IREILEMYHOSTEL.COM|Fijo|19.4329297800000000|-99.163821100000000|2019-11
LAS TORRES HOTEL Y VILAS|INMOBILIARIA DE CASTRO SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|31 a 50 personas|EJE VIAL|1 ORIENTE (ANDRES MOLINA ENRIQUEZ)|AVENIDA|EMILIO CARRANZA|CALLE|SAN ANDRES TETEPILCO|CALLE|XOCHITITLA|780||||0||COLONIA|SAN ANDRES TETEPILCO||||09440|09|CIUDAD DE MÉXICO|007|Iztapalapa|0001|Iztapalapa|0498|019|5555399551|HLASTORRESFACTURACION@GMAIL.COM||Fijo|19.3712310100000000|-99.129941190000000|2014-12
SUITES MELCHOR OCAMPO SA DE CV|SUITES MELCHOR OCAMPO SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CIRCUITO|INTERIOR (CALZADA MELCHOR OCAMPO)|CALLE|SHAKESPEARE|CALLE|TOLSTOI|CALLE|LEIBNITZ|445||||0||COLONIA|NUEVA ANZURES||||11590|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0711|026||MELCHOROCAMPOSUITES@GMAIL.COM|WWW.HOMESUITESHOME.COM|Fijo|19.4258121100000000|-99.176480660000000|2010-07
SUITES HAVRE|SUITES HAVRE SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|51 a 100 personas|CALLE|HAVRE|CALLE|LIVERPOOL|CALLE|MARSELLA|CALLE|NÁPOLES|74||||||COLONIA|JUAREZ||||06600|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0841|005|||WWW.SUITESHAVRE.COM|Fijo|19.4251738300000000|-99.160405660000000|2010-07
SUITE VICTORIA|SUITE VICTORIA SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CALLE|VICTORIA|CALLE|LOPEZ|EJE VIAL|CENTRAL (LAZARO CARDENAS)|CALLE|ARTICULO 123|11||||||COLONIA|CENTRO||||06000|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0748|015||||Fijo|19.4312455200000000|-99.141585210000000|2010-07
LAS SUITES|SUITES CAMPOS ELISEOS SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|31 a 50 personas|AVENIDA|CAMPOS ELISEOS|CALLE|ANDADOR JESUS CAMACHO MORELOS|CALLE|MOLIERE|PERIFERICO|BOULEVARD MANUEL ÁVILA CAMACHO|470||||||COLONIA|POLANCO III SECCION||||11540|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0849|019|5546291162|ALEJANDRA@LASSUITES.COM||Fijo|19.4302403700000000|-99.204385960000000|2014-12
PUG SEAL|ADMINISTRADORA ANATOLE FRANCE SAPI DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CALLE|ANATOLE FRANCE|AVENIDA|EJERCITO NACIONAL MEXICANO|AVENIDA|HOMERO|CALLE|ALFREDO DE MUSSET|307||||||COLONIA|POLANCO III SECCION||||11540|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0641|010||ANATOLE@PUGSEAL.COM|WWW.PUGSEAL.COM|Fijo|19.4359930600000000|-99.197340320000000|2019-11
CONDESA SUITES|CONDESA SUITES  SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|6 a 10 personas|CALLE|JUAN DE LA BARRERA|AVENIDA|MAZATLÁN|CALLE|CUERNAVACA|CALLE|ANTONIO SOLA|66||||0||COLONIA|CONDESA||||06140|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1182|005||VICTORPB@SDRASESORES.MX||Fijo|19.4163537100000000|-99.175166840000000|2010-07
HOTEL SUITES EMBASSY|SUITES EMBASSY SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|11 a 30 personas|CALLE|PUEBLA|CALLE|CORDOBA|CALLE|ORIZABA|AVENIDA|CHAPULTEPEC|115||||||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1002|009||RESERVACIONES@HOTELEMBASSYMX.COM|WWW.HOTELEMBASSYMX.COM|Fijo|19.4228888700000000|-99.160208230000000|2010-07
CENTRO DE SERVICIOS COMPARTIDOS SA DE CV|CENTRO DE SERVICIOS COMPARTIDOS SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|251 y más personas|CALLE|SABINO|CALLE|5|CALLE|5|CALLE|5|329||||0||COLONIA|SANTA MARIA LA RIBERA|EDIFICIO COMERCIAL Y DE SERVIC|||06400|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|017A|011||EFREN.MORENO@XPERTAL.COM||Fijo|19.4558249400000000|-99.158633360000000|2019-04
AMUEBLADOS SAN ANTONIO|AMUEBLADOS SAN ANTONIO SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|EJE VIAL|5 SUR (AVENIDA SAN ANTONIO)|CALLE|CAROLINA|CALLE|ILLINOIS|CALLE|MAXIMINO ÁVILA CAMACHO|132||||0||COLONIA|CIUDAD DE LOS DEPORTES||||03710|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0577|026|55981714|AMUEBLADOSSANANTONIO@YAHOO.COM.MX||Fijo|19.3852443300000000|-99.179290060000000|2010-07
WI HOTEL|WI HOTEL SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CALLE|ALEJANDRO DUMAS|AVENIDA|PRESIDENTE MASARYK|AVENIDA|HORACIO|AVENIDA|HORACIO|124||||2||COLONIA|POLANCO REFORMA||||11550|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0656|019||||Fijo|19.4320183200000000|-99.195768840000000|2019-11
PUG SEAL|PUGSEAL|721312|Departamentos y casas amueblados con servicios de hotelería|6 a 10 personas|CALLE|ALFREDO TENNYSON|AVENIDA|PRESIDENTE MASARYK|AVENIDA|EMILIO CASTELAR|CALLE|ALEJANDRO DUMAS|86||||||COLONIA|POLANCO||||11540|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0779|019||||Fijo|19.4307360900000000|-99.195214910000000|2019-11
APARTAMENTOS AMUEBLADOS ALBA 15||721312|Departamentos y casas amueblados con servicios de hotelería|11 a 30 personas|CALLE|ALBA|CALLE|OCASO|PERIFERICO|BOULEVARD ADOLFO RUIZ CORTINES|CALLE|OCASO|15||||0||COLONIA|INSURGENTES CUICUILCO||||04530|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|1529|004||||Fijo|19.3038817600000000|-99.181706730000000|2019-11
SUITE DEL SOL|HOTEL SUITES DEL SOL SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|AVENIDA|INSURGENTES CENTRO|AVENIDA|RIBERA DE SAN COSME|CALLE|TOMAS ALVA EDISON|CALLE|SADI CARNOT|15||||||COLONIA|VERONICA TALAVERA||||06470|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0697|010||||Fijo|19.4389454600000000|-99.156238200000000|2016-01
SUITS PETIT POLANCO|SUITS PETIT POLANCO SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|11 a 30 personas|CALLE|ISAAC NEWTON|CALLE|LAMARTINE|CALLE|HERACLITO|AVENIDA|HORACIO|116||||0||COLONIA|POLANCO||||11560|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0660|004||ADMINISTRACION@PETITPOLANCO.COM.MX|WWW.PETITPOLANCO.COM.MX|Fijo|19.4326115900000000|-99.189827840000000|2014-12
PROMOTORA CELA|PROMOTORA CELA SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|11 a 30 personas|CALLE|RIO NAZAS|CALLE|RIO NIAGARA|CALLE|RIO GUADALQUIVIR|CALLE|RÍO PÁNUCO|168||||||COLONIA|CUAUHTEMOC||||06500|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0926|015||GERENCIA@ARMONIK.MX||Fijo|19.4302672400000000|-99.171172060000000|2011-03
SUITES DEL CARMEN COYOACAN||721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CIRCUITO|INTERIOR (AVENIDA RIO CHURUBUSCO)|CALLE|VICENTE GUERRERO|CALLE|BRUSELAS|CALLE|VICENTE GUERRERO|382||||||COLONIA|DEL CARMEN||||04100|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|0022|022||||Fijo|19.3580700000000000|-99.165454900000000|2010-07
SUITES DEL CARMEN COYOACAN||721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CALLE|BRUSELAS|CALLE|VICENTE GUERRERO|CALLE|FRANCISCO JAVIER MINA|CONTINUACION|INTERIOR  AVENIDA RÍO CHURUBUSCO|61||||||COLONIA|DEL CARMEN||||04100|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|0022|021||SUITESDELCARMENCOYOACAN@GMAIL.COM|WWW.SUITESMEXICO.COM|Fijo|19.3576600000000000|-99.167220000000000|2010-07
VILLAS HOTEL|HOTEL PLAZA DELTA SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|11 a 30 personas|EJE VIAL|1 PONIENTE (AVENIDA CUAUHTEMOC)|CALLE|ERMITA|CALLE|ESPERANZA|CALLE|ANAXÁGORAS|481||||||COLONIA|NARVARTE PONIENTE||||03020|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0064|011||||Fijo|19.4004866800000000|-99.155794960000000|2014-12
LOMBARDO SUITES|LOMBARDO SUITES  SA DE CV|721312|Departamentos y casas amueblados con servicios de hotelería|6 a 10 personas|CALLE|VICTOR HUGO|CALLE|LEIBNITZ|CALLE|DANTE|CALLE|TOLSTOI|60||||||COLONIA|ANZURES||||11590|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|068A|024|5555456939|CONTACTO@LOMBARDOSUITES.COM|WWW.LOMBARDOSUITES.COM|Fijo|19.4270541500000000|-99.178139350000000|2010-07
CUARTOS AMUEBLADOS||721312|Departamentos y casas amueblados con servicios de hotelería|0 a 5 personas|CALLE|MAR DE JAVA|CALLE|MAR MARMARA|CALLE|MAR EGEO|CALLE|PLAN SEXENAL|45||||||COLONIA|NEXTITLA||||11420|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0069|014||MARIAMATIENZO@YAHOO.COM||Fijo|19.4548401900000000|-99.174223550000000|2014-12
